Year,Province,Murder Rate,Poverty Rate (%),Unemployment Rate (%),Income Inequality Index,Education Level (Avg. Years),Literacy Rate (%)
1990,Balochistan,4.2,35,12,0.45,4.2,40
1991,Balochistan,6.3,32,10,0.42,4.5,42
1992,Balochistan,4.8,30,9,0.4,4.8,44
1993,Balochistan,6.5,28,8,0.38,5,45
1994,Balochistan,5.1,26,7,0.36,5.8,43
1995,Balochistan,5.9,24,6,0.34,5.4,49
1996,Balochistan,5.3,22,5,0.32,5.6,51
1997,Balochistan,5.6,20,4,0.3,5.8,53
1998,Balochistan,5.5,18,3,0.28,6,55
1999,Balochistan,5.4,16,2,0.26,6.2,57
2000,Balochistan,5.7,14,1,0.24,6.4,59
2001,Balochistan,5.2,12,0.5,0.22,6.5,61
2002,Balochistan,5.9,10,1,0.2,6.8,63
2003,Balochistan,5,8,1.5,0.18,7,65
2004,Balochistan,6.1,6,2,0.16,7.2,67
2005,Balochistan,4.8,4,2.5,0.14,7.4,69
2006,Balochistan,4.7,2,3,0.12,7.6,71
2007,Balochistan,4.6,1,3.5,0.1,7.8,73
2008,Balochistan,6.5,0.5,4,0.08,8,75
2009,Balochistan,4.4,1,4.5,0.06,8.2,77
2010,Balochistan,6.7,1.5,5,0.04,8.4,79
2011,Balochistan,4.2,2,5.5,0.02,8.6,81
2012,Balochistan,6.9,2.5,6,0.01,8.8,83
2013,Balochistan,4,3,6.5,0.005,9,85
2014,Balochistan,7.1,3.5,7,0.002,9.2,87
2015,Balochistan,3.8,4,7.5,0.001,9.4,89
2016,Balochistan,7.3,4.5,8,0.0005,9.6,91
2017,Balochistan,3.6,5,8.5,0.0002,9.8,93
2018,Balochistan,7.5,5.5,9,0.0001,10,95
2019,Balochistan,3.4,6,9.5,0.00005,10.2,97
2020,Balochistan,7.7,6.5,10,0.00002,10.4,99
2021,Balochistan,3.2,7,10.5,0.00001,10.6,100
2022,Balochistan,7.9,7.5,11,0.000005,10.8,101
2023,Balochistan,3,8,11.5,0.000002,11,102
2024,Balochistan,8.1,8.5,12,0.000001,11.2,103
1990,Punjab,3.8,25,8,0.35,5.5,60
1991,Punjab,5.2,23,7,0.32,5.8,62
1992,Punjab,4.1,21,6,0.29,6.1,64
1993,Punjab,5.9,19,5,0.26,6.4,66
1994,Punjab,4.7,17,4,0.23,6.7,68
1995,Punjab,5.5,15,3,0.2,7,70
1996,Punjab,4.9,13,2,0.17,7.3,72
1997,Punjab,5.8,11,1,0.14,7.6,74
1998,Punjab,5.2,9,0.5,0.11,7.9,76
1999,Punjab,5.6,7,1,0.08,8.2,78
2000,Punjab,5.5,5,1.5,0.05,8.5,80
2001,Punjab,5.4,3,2,0.02,8.8,82
2002,Punjab,5.7,1,2.5,0.01,9.1,84
2003,Punjab,5.2,0.5,3,0.005,9.4,86
2004,Punjab,5.9,0.2,3.5,0.002,9.7,88
2005,Punjab,5,0.1,4,0.001,10,90
2006,Punjab,6.1,0.05,4.5,0.0005,10.3,92
2007,Punjab,4.8,0.02,5,0.0002,10.6,94
2008,Punjab,6.3,0.01,5.5,0.0001,10.9,96
2009,Punjab,4.6,0.005,6,0.00005,11.2,98
2010,Punjab,6.5,0.002,6.5,0.00002,11.5,100
2011,Punjab,4.4,0.001,7,0.00001,11.8,102
2012,Punjab,6.7,0.0005,7.5,0.000005,12.1,104
2013,Punjab,4.2,0.0002,8,0.000002,12.4,106
2014,Punjab,6.9,0.0001,8.5,0.000001,12.7,108
2015,Punjab,4,0.00005,9,0.0000005,13,110
2016,Punjab,7.1,0.00002,9.5,0.0000002,13.3,112
2017,Punjab,3.8,0.00001,10,0.0000001,13.6,114
2018,Punjab,7.3,0.000005,10.5,0.00000005,13.9,116
2019,Punjab,3.6,0.000002,11,0.00000002,14.2,118
2020,Punjab,7.5,0.000001,11.5,0.00000001,14.5,120
2021,Punjab,3.4,0.0000005,12,0.000000005,14.8,122
2022,Punjab,7.7,0.0000002,12.5,0.000000002,15.1,124
2023,Punjab,3.2,0.0000001,13,0.000000001,15.4,126
2024,Punjab,7.9,0.00000005,13.5,5.00E-10,15.7,128
1990,Khyber Pakhtunkhwa,5.1,30,10,0.4,4.8,45
1991,Khyber Pakhtunkhwa,6.5,28,9,0.37,5.1,47
1992,Khyber Pakhtunkhwa,4.9,26,8,0.34,5.4,49
1993,Khyber Pakhtunkhwa,5.8,24,7,0.31,5.7,51
1994,Khyber Pakhtunkhwa,5.3,22,6,0.28,6,53
1995,Khyber Pakhtunkhwa,5.6,20,5,0.25,6.3,55
1996,Khyber Pakhtunkhwa,5.5,18,4,0.22,6.6,57
1997,Khyber Pakhtunkhwa,5.4,16,3,0.19,6.9,59
1998,Khyber Pakhtunkhwa,5.7,14,2,0.16,7.2,61
1999,Khyber Pakhtunkhwa,5.2,12,1,0.13,7.5,63
2000,Khyber Pakhtunkhwa,5.9,10,0.5,0.1,7.8,65
2001,Khyber Pakhtunkhwa,5,8,1,0.07,8.1,67
2002,Khyber Pakhtunkhwa,6.1,6,1.5,0.04,8.4,69
2003,Khyber Pakhtunkhwa,4.8,4,2,0.01,8.7,71
2004,Khyber Pakhtunkhwa,6.3,2,2.5,0.005,9,73
2005,Khyber Pakhtunkhwa,4.6,1,3,0.002,9.3,75
2006,Khyber Pakhtunkhwa,6.5,0.5,3.5,0.001,9.6,77
2007,Khyber Pakhtunkhwa,4.4,0.2,4,0.0005,9.9,79
2008,Khyber Pakhtunkhwa,6.7,0.1,4.5,0.0002,10.2,81
2009,Khyber Pakhtunkhwa,4.2,0.05,5,0.0001,10.5,83
2010,Khyber Pakhtunkhwa,6.9,0.02,5.5,0.00005,10.8,85
2011,Khyber Pakhtunkhwa,4,0.01,6,0.00002,11.1,87
2012,Khyber Pakhtunkhwa,7.1,0.005,6.5,0.00001,11.4,89
2013,Khyber Pakhtunkhwa,3.8,0.002,7,0.000005,11.7,91
2014,Khyber Pakhtunkhwa,7.3,0.001,7.5,0.000002,12,93
2015,Khyber Pakhtunkhwa,3.6,0.0005,8,0.000001,12.3,95
2016,Khyber Pakhtunkhwa,7.5,0.0002,8.5,0.0000005,12.6,97
2017,Khyber Pakhtunkhwa,3.4,0.0001,9,0.0000002,12.9,99
2018,Khyber Pakhtunkhwa,7.7,0.00005,9.5,0.0000001,13.2,101
2019,Khyber Pakhtunkhwa,3.2,0.00002,10,0.00000005,13.5,103
2020,Khyber Pakhtunkhwa,7.9,0.00001,10.5,0.00000002,13.8,105
2021,Khyber Pakhtunkhwa,3,0.000005,11,0.00000001,14.1,107
2022,Khyber Pakhtunkhwa,8.1,0.000002,11.5,0.000000005,14.4,109
2023,Khyber Pakhtunkhwa,2.8,0.000001,12,0.000000002,14.7,111
2024,Khyber Pakhtunkhwa,8.3,0.0000005,12.5,0.000000001,15,113
1990,Sindh,4.5,30,11,0.42,4.8,45
1991,Sindh,6.2,28,10,0.39,5.1,47
1992,Sindh,4.9,26,9,0.36,5.4,49
1993,Sindh,5.8,24,8,0.33,5.7,51
1994,Sindh,5.3,22,7,0.3,6,53
1995,Sindh,5.6,20,6,0.27,6.3,55
1996,Sindh,5.5,18,5,0.24,6.6,57
1997,Sindh,5.4,16,4,0.21,6.9,59
1998,Sindh,5.7,14,3,0.18,7.2,61
1999,Sindh,5.2,12,2,0.15,7.5,63
2000,Sindh,5.9,10,1,0.12,7.8,65
2001,Sindh,5,8,0.5,0.09,8.1,67
2002,Sindh,6.1,6,1,0.06,8.4,69
2003,Sindh,4.8,4,1.5,0.03,8.7,71
2004,Sindh,6.3,2,2,0.01,9,73
2005,Sindh,4.6,1,2.5,0.005,9.3,75
2006,Sindh,6.5,0.5,3,0.002,9.6,77
2007,Sindh,4.4,0.2,3.5,0.001,9.9,79
2008,Sindh,6.7,0.1,4,0.0005,10.2,81
2009,Sindh,4.2,0.05,4.5,0.0002,10.5,83
2010,Sindh,6.9,0.02,5,0.0001,10.8,85
2011,Sindh,4,0.01,5.5,0.00005,11.1,87
2012,Sindh,7.1,0.005,6,0.00002,11.4,89
2013,Sindh,3.8,0.002,6.5,0.00001,11.7,91
2014,Sindh,7.3,0.001,7,0.000005,12,93
2015,Sindh,3.6,0.0005,7.5,0.000002,12.3,95
2016,Sindh,7.5,0.0002,8,0.000001,12.6,97
2017,Sindh,3.4,0.0001,8.5,0.0000005,12.9,99
2018,Sindh,7.7,0.00005,9,0.0000002,13.2,101
2019,Sindh,3.2,0.00002,9.5,0.0000001,13.5,103
2020,Sindh,7.9,0.00001,10,0.00000005,13.8,105
2021,Sindh,3,0.000005,10.5,0.00000002,14.1,107
2022,Sindh,8.1,0.000002,11,0.00000001,14.4,109
2023,Sindh,2.8,0.000001,11.5,0.000000005,14.7,111
2024,Sindh,8.3,0.0000005,12,0.000000002,15,113
